iter	Passed	Remaining
0	19	5529
1	36	5152
2	54	5092
3	74	5243
4	90	5089
5	109	5104
6	130	5191
7	145	5022
8	159	4887
9	171	4717
10	179	4483
11	192	4387
12	205	4297
13	217	4217
14	229	4135
15	242	4083
16	254	4012
17	266	3946
18	277	3885
19	289	3837
20	301	3794
21	313	3753
22	326	3718
23	338	3680
24	352	3667
25	364	3629
26	376	3597
27	387	3558
28	399	3527
29	412	3508
30	430	3526
31	448	3542
32	464	3545
33	478	3535
34	495	3539
35	511	3537
36	522	3502
37	539	3506
38	559	3526
39	572	3506
40	589	3506
41	603	3493
42	619	3487
43	633	3468
44	646	3448
45	655	3405
46	667	3380
47	680	3359
48	693	3338
49	706	3320
50	719	3301
51	732	3279
52	744	3258
53	757	3240
54	771	3224
55	784	3207
56	797	3188
57	810	3171
58	823	3156
59	837	3138
60	851	3126
61	865	3113
62	877	3092
63	891	3080
64	904	3062
65	918	3046
66	931	3029
67	944	3013
68	957	2997
69	971	2982
70	985	2970
71	998	2954
72	1011	2936
73	1024	2922
74	1040	2912
75	1045	2875
76	1059	2862
77	1073	2847
78	1089	2840
79	1105	2831
80	1120	2822
81	1129	2796
82	1144	2785
83	1163	2783
84	1179	2774
85	1197	2769
86	1211	2756
87	1227	2747
88	1241	2733
89	1260	2731
90	1275	2719
91	1292	2712
92	1306	2697
93	1323	2689
94	1338	2677
95	1355	2668
96	1371	2658
97	1388	2649
98	1403	2637
99	1420	2627
100	1435	2615
101	1450	2601
102	1463	2586
103	1479	2575
104	1495	2564
105	1512	2554
106	1531	2546
107	1549	2540
108	1565	2528
109	1584	2520
110	1592	2496
111	1609	2485
112	1640	2497
113	1686	2530
114	1745	2580
115	1776	2588
116	1795	2578
117	1823	2581
118	1840	2566
119	1857	2553
120	1873	2538
121	1886	2520
122	1899	2501
123	1914	2485
124	1928	2467
125	1942	2450
126	1957	2434
127	1971	2418
128	1987	2402
129	2001	2386
130	2016	2370
131	2030	2353
132	2043	2335
133	2057	2318
134	2070	2300
135	2084	2283
136	2098	2267
137	2112	2250
138	2126	2233
139	2140	2217
140	2154	2200
141	2169	2184
142	2183	2167
143	2195	2149
144	2208	2132
145	2220	2113
146	2233	2096
147	2248	2081
148	2262	2064
149	2275	2048
150	2288	2030
151	2302	2014
152	2314	1996
153	2328	1981
154	2342	1965
155	2355	1947
156	2366	1929
157	2379	1912
158	2390	1894
159	2402	1876
160	2414	1859
161	2425	1841
162	2437	1824
163	2448	1806
164	2459	1788
165	2471	1771
166	2483	1754
167	2494	1737
168	2505	1719
169	2518	1703
170	2530	1686
171	2542	1670
172	2554	1653
173	2566	1637
174	2577	1620
175	2589	1603
176	2602	1587
177	2614	1571
178	2627	1556
179	2639	1539
180	2650	1523
181	2662	1506
182	2673	1490
183	2685	1474
184	2697	1458
185	2709	1442
186	2721	1426
187	2732	1409
188	2744	1393
189	2754	1377
190	2766	1361
191	2777	1345
192	2789	1329
193	2800	1313
194	2811	1297
195	2822	1281
196	2834	1266
197	2847	1250
198	2858	1235
199	2869	1219
200	2881	1204
201	2892	1188
202	2904	1173
203	2918	1158
204	2929	1143
205	2940	1127
206	2952	1112
207	2963	1096
208	2974	1081
209	2986	1066
210	2996	1051
211	3007	1035
212	3018	1020
213	3029	1005
214	3040	989
215	3051	974
216	3062	959
217	3074	944
218	3086	930
219	3097	915
220	3100	897
221	3111	882
222	3122	868
223	3132	853
224	3143	838
225	3155	823
226	3165	808
227	3177	794
228	3189	779
229	3200	765
230	3211	750
231	3221	736
232	3231	721
233	3243	706
234	3255	692
235	3267	678
236	3277	663
237	3288	649
238	3299	635
239	3311	620
240	3321	606
241	3333	592
242	3345	578
243	3358	564
244	3370	550
245	3382	536
246	3395	522
247	3407	508
248	3419	494
249	3432	480
250	3444	466
251	3456	452
252	3471	439
253	3484	425
254	3495	411
255	3507	397
256	3519	383
257	3531	369
258	3543	355
259	3555	341
260	3566	327
261	3577	314
262	3589	300
263	3601	286
264	3613	272
265	3629	259
266	3644	245
267	3660	232
268	3671	218
269	3683	204
270	3694	190
271	3706	177
272	3717	163
273	3728	149
274	3739	135
275	3749	122
276	3761	108
277	3772	94
278	3783	81
279	3793	67
280	3804	54
281	3814	40
282	3825	27
283	3837	13
284	3848	0
